Name,Plan,Toddle Buddy,Cutomer journey stage,Strategic account,Contract signed statu,Payment status,Risk tag,Risk level,Days in risk,Onboarding lifecycle status,Days in Onboarding,Total Classes,Total Staff,Total Student,Total Units Created,Total LE,Total journal posts,Total Announcements,Percentage of students with parents,Helth Metric
School 38,360,Buddy 7,Adoption,Yes,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,309,64,185,"1,009",109,380,705,208,96,Excellent
School 39,360,Buddy 3,Onboarding,Yes,O/F out for sign,Received,At Risk,3. Low,60,6. Go-live readiness,631,19,40,350,28,56,0,1,1,Poor
School 40,360,Buddy 7,Onboarding,Yes,O/F out for sign,Received,Flagged,4. Not at risk,18,4. Training,817,1,24,20,0,0,0,0,0,Poor
School 41,Pro,Buddy 3,Onboarding,No,O/F out for sign,Payment Pending,Not at risk,4. Not at risk,,4. Training,37,18,9,0,0,0,0,0,0,Poor
School 42,360,Buddy 2,Adoption,No,O/F out for sign,Billing Pending,At Risk,1. High,50,Exit survey,161,17,45,105,81,161,147,9,99,Excellent
School 43,Pro,Buddy 5,Adoption,No,Awaiting PO,Invoice Due-Payment Pending,Not at risk,4. Not at risk,,Exit Survey,266,76,21,0,250,38,0,0,0,Poor
School 44,Pro,Buddy 5,Adoption,No,Awaiting PO,Received,Not at risk,4. Not at risk,,Exit Survey,266,17,29,0,75,6,0,0,0,Poor
School 45,360,Buddy 10,Onboarding,No,O/F signed,Received,Not at risk,4. Not at risk,,6. Go-live readiness,122,26,59,0,71,613,0,0,0,Poor
School 46,360,Buddy 3,Adoption,Yes,Awaiting PO,Received,Flagged,4. Not at risk,,Introduction,108,166,70,796,261,892,2,0,0,Poor
School 47,360,Buddy 6,Adoption,Yes,Awaiting PO,Received,At Risk,2. Medium,43,Exit Survey,134,9,16,158,45,48,383,0,76,Concerning
School 48,360,Buddy 5,Adoption,Yes,O/F signed,Received,Flagged,4. Not at risk,,4. Training,247,111,40,163,186,832,"2,456",137,98,Excellent
School 49,Pro,Buddy 5,Onboarding,No,PO Received,Payment Pending,Not at risk,4. Not at risk,,4. Training,44,18,23,0,71,187,1,0,0,Poor
School 50,360,Buddy 2,Onboarding,No,O/F signed,Payment Pending,Not at risk,4. Not at risk,,2. Kick off,23,10,14,217,15,68,68,0,0,Poor
School 51,360,Buddy 4,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,4. Training,37,9,23,206,32,34,224,3,99,Excellent
School 52,Pro,Buddy 3,Onboarding,No,Awaiting PO,Payment Pending,Not at risk,4. Not at risk,,4. Training,31,32,223,0,26,188,0,0,0,Poor
School 53,Pro,Buddy 5,Adoption,No,Awaiting PO,Received,Not at risk,4. Not at risk,,Exit Survey,72,23,23,0,34,0,0,0,0,Poor
School 54,360,Buddy 4,Adoption,No,O/F signed,Received,At Risk,3. Low,147,Exit Survey,124,53,33,84,142,144,341,30,85,Concerning
School 55,360,Buddy 6,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,1,40,116,789,58,219,"8,118",0,6,Poor
School 56,360,Buddy 4,Adoption,Yes,O/F signed,Invoice Due-Payment Pending,Not at risk,4. Not at risk,,Exit Survey,1,26,60,621,74,196,"4,343",3,89,Concerning
School 57,360,Buddy 10,Onboarding,No,PO Received,Received,Not at risk,4. Not at risk,74,4. Training,474,25,19,38,74,78,0,0,0,Poor
School 58,360,Buddy 5,Adoption,Yes,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,218,10,30,193,51,11,764,96,99,Excellent
School 59,360,Buddy 5,Adoption,Yes,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,73,184,35,247,391,"1,077",124,54,100,Excellent
School 60,Pro,Buddy 2,Adoption,No,PO Received,Received,Not at risk,4. Not at risk,,Exit Survey,80,45,31,0,172,76,0,0,0,Poor
School 61,360,Buddy 10,Onboarding,Yes,O/F out for sign,Received,Not at risk,4. Not at risk,,3. Account creation,164,30,45,505,2,0,1,0,0,Poor
School 62,360,Buddy 6,Adoption,Yes,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,60,61,193,"1,442",50,"5,445","24,895","1,067",89,Concerning
School 63,Pro,Buddy 8,Onboarding,No,O/F signed,Payment Pending,Not at risk,4. Not at risk,,3. Account creation,30,13,21,13,32,1,0,0,0,Poor
School 64,360,Buddy 5,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,1,Exit Survey,39,9,18,52,172,159,157,260,96,Excellent
School 65,360,Buddy 2,Onboarding,No,O/F signed,Received,Not at risk,4. Not at risk,,6. Go-live readiness,173,37,24,31,227,497,12,5,100,Excellent
School 66,360,Buddy 8,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,8,8,29,108,56,59,999,197,98,Excellent
School 67,360,Buddy 2,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,1,149,92,409,196,88,"2,715",484,99,Excellent
School 68,360,Buddy 6,Adoption,No,O/F signed,Received,At Risk,3. Low,106,Exit Survey,104,160,35,180,391,471,0,0,41,Poor
School 69,360,Buddy 7,Adoption,Yes,O/F signed,Invoice Due-Payment Pending,Not at risk,4. Not at risk,36,Exit survey,358,276,110,431,468,"3,370","3,104",245,99,Excellent
School 70,360,Buddy 1,Onboarding,No,O/F out for sign,Billing Pending,Not at risk,4. Not at risk,,3. Account creation,86,0,0,0,0,0,0,0,0,Poor
School 71,360,Buddy 2,Onboarding,Yes,O/F signed,Payment Pending,Not at risk,4. Not at risk,,Introduction,10,0,0,0,0,0,0,0,0,Poor
School 72,360,Buddy 4,Adoption,Yes,O/F signed,Invoice Due-Payment Pending,Not at risk,4. Not at risk,,Exit Survey,140,25,93,316,72,720,"3,341",686,100,Excellent
School 73,360,Buddy 2,Adoption,No,O/F out for sign,Received,Not at risk,4. Not at risk,,Exit Survey,,85,67,460,30,10,"3,494",236,96,Excellent
School 74,360,Buddy 10,Adoption,No,PO Received,Received,Not at risk,4. Not at risk,,Exit Survey,81,255,62,810,327,90,80,0,93,Excellent
School 75,Pro,Buddy 10,Adoption,No,PO Received,Received,Not at risk,4. Not at risk,,Exit Survey,300,7,22,0,42,1,2,0,0,Poor
School 76,360,Buddy 7,Onboarding,No,PO Received,Received,Not at risk,4. Not at risk,,6. Go-live readiness,171,36,30,93,31,82,0,0,0,Poor
School 77,360,Buddy 5,Adoption,Yes,PO Received,Received,At Risk,1. High,227,Exit Survey,52,272,38,471,58,41,"1,464",0,4,Poor
School 78,360,Buddy 8,Adoption,No,O/F signed,Invoice Due-Payment Pending,At Risk,3. Low,10,Exit survey,87,4,5,75,10,30,6,0,1,Poor
School 79,360,Buddy 2,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,104,21,48,324,30,211,"4,824",264,100,Excellent
School 80,Pro,Buddy 9,Adoption,Yes,Awaiting PO,Invoice Due-Payment Pending,At Risk,1. High,351,Exit Survey,131,36,17,0,7,0,0,0,0,Poor
School 81,360,Buddy 9,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit survey,278,77,30,56,253,"1,212",849,158,100,Excellent
School 82,360,Buddy 9,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit survey,278,37,35,63,90,805,741,137,98,Excellent
School 83,360,Buddy 3,Onboarding,Yes,Awaiting PO,Received,At Risk,3. Low,351,4. Training,758,180,117,437,250,54,1,0,0,Poor
School 84,360,Buddy 5,Adoption,No,O/F out for sign,Received,Flagged,4. Not at risk,,4. Training,167,129,31,118,265,857,827,426,100,Excellent
School 85,360,Buddy 4,Adoption,No,O/F signed,Invoice Due-Payment Pending,Not at risk,4. Not at risk,,Exit survey,71,18,12,18,65,70,3,1,100,Excellent
School 86,Pro,Buddy 3,Onboarding,Yes,O/F signed,Received,Flagged,4. Not at risk,190,4. Training,572,17,22,0,46,0,0,0,0,Poor
School 87,360,Buddy 6,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit survey,80,23,23,33,89,110,9,22,100,Excellent
School 88,Pro,Buddy 6,Onboarding,No,O/F signed,Payment Pending,Not at risk,4. Not at risk,,5. Information transfer,37,13,14,0,25,5,15,0,0,Poor
School 89,360,Buddy 9,Adoption,No,Awaiting PO,Invoice Due-Payment Pending,Not at risk,4. Not at risk,,Exit Survey,0,121,21,337,137,108,5,0,0,Poor
School 90,360,Buddy 8,Adoption,No,O/F signed,Received,Flagged,4. Not at risk,7,Exit Survey,45,13,38,150,59,448,"3,983",459,95,Excellent
School 91,Pro,Buddy 6,Adoption,No,Awaiting PO,Received,At Risk,3. Low,180,Exit Survey,1,8,9,0,40,69,0,0,0,Poor
School 92,360,Buddy 1,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,78,92,76,227,137,107,"2,076",183,70,Concerning
School 93,360,Buddy 7,Onboarding,No,O/F signed,Received,Flagged,4. Not at risk,,6. Go-live readiness,125,302,115,720,717,"3,416","10,335",888,100,Excellent
School 94,Pro,Buddy 10,Adoption,No,PO Received,Invoice Due-Payment Pending,Not at risk,4. Not at risk,,Exit Survey,180,65,35,0,242,117,24,0,0,Poor
School 95,360,Buddy 8,Adoption,Yes,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,1,23,68,414,75,134,88,2,0,Poor
School 96,360,Buddy 7,Onboarding,No,O/F out for sign,Billing Pending,Not at risk,4. Not at risk,,Introduction,9,0,0,0,0,0,0,0,0,Poor
School 97,360,Buddy 2,Onboarding,No,O/F out for sign,Billing Pending,Not at risk,4. Not at risk,,3. Account creation,11,1,2,0,1,0,0,0,0,Poor
School 98,360,Buddy 1,Adoption,No,O/F out for sign,Received,Not at risk,4. Not at risk,,4. Training,244,68,80,228,140,645,"5,312",178,96,Excellent
School 99,360,Buddy 4,Adoption,Yes,O/F signed,Received,At Risk,1. High,350,Exit Survey,320,403,157,887,129,131,0,0,100,Excellent
School 100,360,Buddy 3,Adoption,No,Awaiting PO,Received,Not at risk,4. Not at risk,23,Exit Survey,223,13,24,250,21,2,757,0,0,Poor
School 101,360,Buddy 9,Onboarding,No,Awaiting PO,Billing Pending,Not at risk,4. Not at risk,,4. Training,18,34,26,27,6,7,0,0,0,Poor
School 102,Pro,Buddy 8,Adoption,Yes,O/F signed,Received,At Risk,3. Low,310,Exit Survey,182,21,13,0,14,21,0,2,0,Poor
School 103,360,Buddy 2,Onboarding,No,O/F signed,Received,At Risk,2. Medium,23,6. Go-live readiness,132,1,2,8,1,1,1,0,0,Poor
School 104,360,Buddy 1,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,25,97,37,84,270,"1,278","1,103",126,96,Excellent
School 105,360,Buddy 1,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,25,44,51,169,75,220,"2,428",147,99,Excellent
School 106,Pro,Buddy 7,Adoption,Yes,O/F signed,Received,Flagged,4. Not at risk,88,Exit Survey,1,6,36,0,23,1,14,0,0,Poor
School 107,360,Buddy 6,Onboarding,No,PO Received,Received,Not at risk,4. Not at risk,,4. Training,133,124,107,3,349,"2,567",0,0,0,Poor
School 108,360,Buddy 3,Onboarding,Yes,PO Received,Received,At Risk,2. Medium,351,4. Training,544,24,0,0,36,0,0,0,0,Poor
School 109,360,Buddy 7,Adoption,Yes,PO Received,Received,At Risk,1. High,330,Exit Survey,6,89,60,0,0,0,0,0,0,Poor
School 110,Pro,Buddy 10,Adoption,Yes,Awaiting PO,Received,At Risk,3. Low,296,Exit Survey,114,40,49,0,42,4,0,1,0,Poor
School 111,360,Buddy 6,Onboarding,Yes,O/F out for sign,Received,At Risk,1. High,277,4. Training,624,138,40,237,154,2,0,0,63,Concerning
School 112,360,Buddy 1,Onboarding,No,O/F out for sign,Billing Pending,Not at risk,4. Not at risk,,2. Kick off,13,0,0,0,0,0,0,0,0,Poor
School 113,Pro,Buddy 10,Adoption,No,O/F signed,Invoice Due-Payment Pending,Not at risk,4. Not at risk,,Exit Survey,101,26,34,0,139,0,0,0,0,Poor
School 114,360,Buddy 4,Adoption,Yes,PO Received,Received,At Risk,1. High,138,Exit Survey,79,41,40,0,50,0,0,0,0,Poor
School 115,Pro,Buddy 4,Adoption,Yes,PO Received,Payment Pending,Flagged,4. Not at risk,64,Exit survey,335,26,38,0,39,7,2,0,0,Poor
School 116,360,Buddy 6,Adoption,No,O/F out for sign,Received,Not at risk,4. Not at risk,,Exit Survey,441,70,26,96,161,621,54,48,43,Poor
School 117,360,Buddy 6,Onboarding,No,O/F signed,Invoice Due-Payment Pending,Not at risk,4. Not at risk,,4. Training,94,109,32,123,175,183,17,11,0,Poor
School 118,360,Buddy 10,Onboarding,Yes,O/F signed,Received,Not at risk,4. Not at risk,,4. Training,97,23,13,3,8,1,0,40,0,Poor
School 119,360,Buddy 9,Adoption,No,Awaiting PO,Received,Not at risk,4. Not at risk,,Exit Survey,202,12,41,159,54,168,454,0,1,Poor
School 120,360,Buddy 1,Onboarding,No,O/F signed,Received,Not at risk,4. Not at risk,,5. Information transfer,135,12,12,7,18,96,45,46,100,Excellent
School 121,360,Buddy 1,Onboarding,No,O/F signed,Received,Not at risk,4. Not at risk,,6. Go-live readiness,11,11,12,42,23,36,11,0,2,Poor
School 122,360,Buddy 9,Adoption,No,O/F out for sign,Received,Not at risk,4. Not at risk,,Exit Survey,57,9,34,143,105,238,"2,445",531,100,Excellent
School 123,360,Buddy 4,Adoption,No,TBV,,Not at risk,4. Not at risk,,6. Go-live readiness,51,82,82,37,108,138,156,63,97,Excellent
School 124,360,Buddy 1,Adoption,No,Awaiting PO,Received,Not at risk,4. Not at risk,,Exit Survey,166,161,43,237,243,"2,040",37,210,100,Excellent
School 125,360,Buddy 6,Onboarding,No,O/F signed,Invoice Due-Payment Pending,Not at risk,4. Not at risk,,4. Training,94,13,10,3,46,11,1,1,0,Poor
School 126,Pro,Buddy 10,Adoption,No,O/F signed,Invoice Due-Payment Pending,Not at risk,4. Not at risk,,4. Training,64,31,35,0,100,10,0,0,0,Poor
School 127,Pro,Buddy 7,Adoption,No,Awaiting PO,Received,At Risk,1. High,279,Exit Survey,108,86,26,0,0,0,0,0,0,Poor
School 128,360,Buddy 2,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,67,5,25,71,32,507,853,1,94,Excellent
School 129,360,Buddy 2,Adoption,No,O/F signed,Received,At Risk,2. Medium,20,Exit survey,122,22,74,111,62,31,418,29,1,Poor
School 130,360,Buddy 9,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,1,14,29,164,70,687,479,0,65,Concerning
School 131,Pro,Buddy 8,Adoption,No,O/F out for sign,Received,Not at risk,4. Not at risk,,Exit Survey,186,9,17,0,87,696,"1,016",0,0,Poor
School 132,360,Buddy 9,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,1,47,82,284,234,540,"9,630",150,100,Excellent
School 133,360,Buddy 2,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,123,Exit Survey,102,16,21,231,166,852,83,0,1,Poor
School 134,360,Buddy 9,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,72,9,24,96,86,"1,005","1,396",108,98,Excellent
School 135,Pro,Buddy 10,Adoption,Yes,Awaiting PO,Received,At Risk,3. Low,351,Exit Survey,1,7,27,0,44,0,0,0,0,Poor
School 136,360,Buddy 8,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,1,31,79,560,111,"1,107","16,575",667,99,Excellent
School 137,360,Buddy 1,Onboarding,No,O/F out for sign,Received,Not at risk,4. Not at risk,,4. Training,128,10,15,101,44,150,0,0,0,Poor
School 138,360,Buddy 7,Adoption,No,O/F signed,Received,At Risk,2. Medium,31,Exit Survey,326,0,0,0,0,0,0,0,0,Poor
School 139,360,Buddy 8,Onboarding,Yes,O/F out for sign,Received,At Risk,3. Low,39,4. Training,267,59,20,17,30,4,0,0,82,Concerning
School 140,360,Buddy 8,Adoption,No,O/F signed,Invoice Due-Payment Pending,Flagged,4. Not at risk,,Exit survey,76,333,66,353,"1,355","2,298","3,309",482,99,Excellent
School 141,360,Buddy 1,Adoption,Yes,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,197,376,74,592,424,"1,009","1,112",863,100,Excellent
School 142,360,Buddy 1,Onboarding,Yes,O/F signed,Received,At Risk,1. High,267,4. Training,546,43,40,655,49,6,0,0,0,Poor
School 143,360,Buddy 7,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,121,57,62,250,72,334,"7,684",324,100,Excellent
School 144,360,Buddy 10,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,106,Exit Survey,104,9,43,92,6,8,10,22,47,Poor
School 145,Pro,Buddy 8,Adoption,No,O/F signed,Received,Not at risk,4. Not at risk,,Exit Survey,11,35,11,0,152,532,0,0,0,Poor
School 146,Pro,Buddy 3,Adoption,No,Awaiting PO,Received,Not at risk,4. Not at risk,,Exit survey,100,24,3,3,12,4,0,0,0,Poor
School 147,360,Buddy 4,Onboarding,Yes,O/F signed,Received,At Risk,2. Medium,36,3. Account creation,98,13,2,4,34,0,0,0,0,Poor
School 148,360,Buddy 6,Onboarding,No,PO Received,Received,At Risk,3. Low,86,4. Training,296,40,7,256,1,0,0,0,1,Poor
School 149,360,Buddy 9,Onboarding,No,PO Received,Received,At Risk,3. Low,192,4. Training,222,34,51,460,51,19,168,117,54,Poor
School 150,360,Buddy 6,Onboarding,No,PO Received,Received,At Risk,3. Low,76,4. Training,294,35,22,369,0,0,0,0,0,Poor
School 151,360,Buddy 1,Onboarding,No,O/F signed,Received,Flagged,4. Not at risk,,4. Training,161,9,48,100,92,94,2,2,9,Poor
